x,y,z
-0.38,0.62,-0.62
-0.38,0.62,-0.62
-0.38,0.62,-0.62
-0.38,0.62,-0.62
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.33,0.57,-0.62
-0.33,0.57,-0.62
-0.38,0.67,-0.62
-0.38,0.67,-0.62
-0.38,0.62,-0.62
-0.33,0.57,-0.57
-0.33,0.57,-0.57
-0.38,0.62,-0.62
-0.38,0.62,-0.62
-0.38,0.62,-0.67
-0.38,0.62,-0.67
-0.38,0.67,-0.57
-0.38,0.67,-0.62
-0.38,0.67,-0.62
-0.38,0.62,-0.67
-0.38,0.62,-0.67
-0.43,0.62,-0.62
-0.43,0.62,-0.62
-0.38,0.62,-0.62
-0.38,0.62,-0.62
-0.33,0.62,-0.62
-0.33,0.62,-0.67
-0.33,0.62,-0.67
-0.33,0.67,-0.62
-0.33,0.67,-0.62
-0.38,0.67,-0.62
-0.38,0.67,-0.62
-0.38,0.62,-0.62
-0.43,0.62,-0.67
-0.43,0.62,-0.67
-0.38,0.62,-0.62
-0.38,0.62,-0.62
-0.38,0.62,-0.62
-0.38,0.62,-0.62
-0.29,0.57,-0.62
-0.29,0.57,-0.62
-0.38,0.62,-0.62
-0.38,0.62,-0.62
-0.38,0.62,-0.62
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.43,0.62,-0.62
-0.43,0.62,-0.62
-0.38,0.62,-0.57
-0.43,0.67,-0.67
-0.43,0.67,-0.67
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.43,0.62,-0.57
-0.38,0.57,-0.90
-0.38,0.57,-0.90
-0.38,0.48,-0.86
-0.38,0.48,-0.86
-0.57,0.33,-0.81
-0.48,0.38,-0.81
-0.48,0.38,-0.81
-0.62,0.33,-0.71
-0.62,0.33,-0.71
-0.67,0.29,-0.67
-0.67,0.29,-0.67
-0.52,0.43,-0.71
-0.52,0.33,-0.71
-0.48,0.33,-0.71
-0.38,0.29,-0.76
-0.38,0.29,-0.76
-0.48,0.29,-0.76
-0.48,0.29,-0.76
-0.48,0.19,-0.76
-0.48,0.19,-0.76
-0.43,0.24,-0.86
-0.43,0.24,-0.71
-0.43,0.24,-0.71
-0.43,0.29,-0.76
-0.43,0.29,-0.76
-0.38,0.24,-0.81
-0.38,0.24,-0.81
-0.67,0.19,-0.62
-0.62,0.24,-0.67
-0.62,0.24,-0.67
-0.62,0.14,-0.67
-0.62,0.14,-0.67
-0.67,0.14,-0.67
-0.67,0.14,-0.67
-0.71,0.19,-0.67
-0.71,0.19,-0.67
-0.67,0.19,-0.67
-0.57,0.05,-0.67
-0.57,0.05,-0.67
-0.62,0.14,-0.52
-0.62,0.14,-0.52
-0.90,0.24,-0.38
-0.90,0.24,-0.38
-0.67,0.43,-0.62
-0.62,0.24,-0.52
-0.62,0.24,-0.52
-0.62,0.05,-0.71
-0.62,0.05,-0.71
-0.57,0.57,-0.71
-0.57,0.57,-0.71
-0.95,0.33,-0.67
-1.19,0.05,-0.57
-1.19,0.05,-0.57
-1.48,0.19,-0.43
-1.48,0.19,-0.43
-1.52,0.00,-0.48
-1.52,0.00,-0.48
-1.52,0.24,-0.67
-1.52,0.24,-0.67
-1.14,0.24,-0.62
-0.86,0.33,-0.52
-0.86,0.33,-0.52
-0.62,0.14,-0.57
-0.62,0.14,-0.57
-0.14,0.19,-0.52
-0.14,0.19,-0.52
0.14,0.00,-0.43
0.24,-0.24,-0.29
0.24,-0.24,-0.29
0.33,-0.19,-0.19
0.33,-0.19,-0.19
0.48,-0.10,-0.05
0.48,-0.10,-0.05
0.38,-0.19,-0.14
0.24,-0.19,-0.19
0.24,-0.19,-0.19
0.05,0.24,-0.48
0.05,0.24,-0.48
-0.67,0.38,-0.90
-0.67,0.38,-0.90
-1.52,0.48,-1.05
-1.52,0.48,-1.05
-1.52,1.05,-1.33
-1.52,1.24,-1.05
-1.52,1.24,-1.05
-1.43,0.90,-0.86
-1.43,0.90,-0.86
-1.14,0.81,-0.81
-1.14,0.81,-0.81
-1.29,0.52,-0.67
-1.00,0.43,-0.76
-1.00,0.43,-0.76
-0.62,0.33,-0.86
-0.62,0.33,-0.86
-0.24,0.10,-0.67
-0.24,0.10,-0.67
-0.14,-0.05,-0.48
-0.14,-0.05,-0.48
0.05,-0.10,-0.38
0.24,-0.14,-0.43
0.24,-0.14,-0.43
0.24,-0.33,-0.29
0.24,-0.33,-0.29
0.29,-0.14,-0.29
0.29,-0.14,-0.29
0.29,-0.05,-0.43
0.00,0.29,-0.57
0.00,0.29,-0.57
-0.52,0.29,-0.86
-0.52,0.29,-0.86
-1.14,0.62,-1.00
-1.14,0.62,-1.00
-1.52,0.67,-0.90
-1.52,1.19,-1.19
-1.52,1.19,-1.19
-1.52,1.00,-0.76
-1.52,1.00,-0.76
-1.14,0.95,-0.86
-1.14,0.95,-0.86
-1.05,0.67,-0.76
-1.05,0.67,-0.76
-0.76,0.29,-0.81
-0.38,0.05,-0.90
-0.38,0.05,-0.90
-0.38,-0.14,-0.52
-0.38,-0.14,-0.52
-0.19,-0.10,-0.67
-0.19,-0.10,-0.67
0.10,-0.29,-0.43
0.00,-0.05,-0.38
0.00,-0.05,-0.38
