x,y,z
-1.10,0.52,-0.52
-0.38,0.00,-0.38
-0.38,0.00,-0.38
-0.10,0.05,-0.29
-0.10,0.05,-0.29
0.19,-0.10,-0.19
0.19,-0.10,-0.19
0.38,-0.05,-0.24
0.24,-0.48,0.10
0.24,-0.48,0.10
0.48,-0.10,0.00
0.48,-0.10,0.00
0.38,-0.14,-0.14
0.38,-0.14,-0.14
-0.10,-0.19,-0.29
-0.10,-0.19,-0.29
-0.90,0.00,-0.52
-1.38,0.67,-1.05
-1.38,0.67,-1.05
-1.52,0.76,-1.24
-1.52,0.76,-1.24
-1.52,0.71,-1.05
-1.52,0.71,-1.05
-1.52,0.38,-1.10
-1.52,0.38,-1.05
-1.52,0.38,-1.05
-1.33,0.29,-0.71
-1.33,0.29,-0.71
-0.76,-0.14,-0.71
-0.76,-0.14,-0.71
0.14,-0.10,-0.57
0.33,0.10,-0.14
0.33,0.10,-0.14
0.52,-0.05,-0.05
0.52,-0.05,-0.05
0.43,-0.14,-0.10
0.43,-0.14,-0.10
0.62,-0.24,-0.14
0.62,-0.24,-0.14
0.33,-0.29,-0.24
-0.10,-0.24,-0.52
-0.10,-0.24,-0.52
-0.76,0.38,-0.86
-0.76,0.38,-0.86
-1.52,0.57,-1.10
-1.52,0.57,-1.10
-1.52,0.90,-1.14
-1.52,0.76,-0.86
-1.52,0.76,-0.86
-1.52,0.86,-0.81
-1.52,0.86,-0.81
-1.38,0.76,-0.81
-1.38,0.76,-0.81
-1.19,0.19,-0.62
-0.57,-0.05,-0.57
-0.57,-0.05,-0.57
0.00,-0.14,-0.24
0.00,-0.14,-0.24
0.43,-0.14,-0.19
0.43,-0.14,-0.19
0.38,-0.19,-0.10
0.38,-0.19,-0.10
0.43,-0.19,-0.05
0.48,-0.24,-0.14
0.48,-0.24,-0.14
0.24,-0.29,-0.33
0.24,-0.29,-0.33
0.14,0.00,-0.62
0.14,0.00,-0.62
-0.71,0.38,-0.81
-1.52,1.43,-0.52
-1.52,1.43,-0.52
-1.52,0.67,-1.05
-1.52,0.67,-1.05
-1.52,0.33,-0.71
-1.52,0.33,-0.71
-1.48,0.81,-0.71
-1.52,0.62,-0.57
-1.52,0.62,-0.57
-1.43,0.33,-0.62
-1.43,0.33,-0.62
-0.81,0.24,-0.67
-0.81,0.24,-0.67
-0.52,0.05,-0.52
-0.52,0.05,-0.52
-0.43,-0.19,-0.05
0.24,-0.29,-0.33
0.24,-0.29,-0.33
0.33,-0.19,-0.19
0.33,-0.19,-0.19
0.38,-0.29,-0.14
0.38,-0.29,-0.14
0.33,-0.29,-0.14
0.48,-0.10,-0.38
0.48,-0.10,-0.38
-0.05,0.10,-0.52
-0.05,0.10,-0.52
-1.14,0.29,-0.81
-1.14,0.29,-0.81
-1.38,0.71,-0.76
-1.48,1.00,-0.62
-1.48,1.00,-0.62
-1.52,0.76,-0.48
-1.52,0.76,-0.48
-1.29,1.00,-0.52
-1.29,1.00,-0.52
-1.52,1.05,-0.67
-1.52,0.48,-0.57
-1.52,0.48,-0.57
-0.76,0.67,-0.43
-0.76,0.67,-0.43
-0.52,0.38,-0.33
-0.52,0.38,-0.33
-0.43,0.24,-0.33
-0.43,0.24,-0.33
-0.29,0.90,-0.33
-0.33,0.24,-0.19
-0.33,0.24,-0.19
-0.24,0.00,-0.19
-0.24,0.00,-0.19
0.00,0.10,-0.52
0.00,0.10,-0.52
-0.19,-0.10,-0.48
-0.38,0.05,-0.38
-0.38,0.05,-0.38
-0.24,0.29,-0.67
-0.24,0.29,-0.67
-0.43,0.38,-0.71
-0.43,0.38,-0.71
-0.33,0.71,-0.76
-0.52,0.48,-0.76
-0.52,0.48,-0.76
-0.95,0.52,-0.48
-0.95,0.52,-0.48
-1.05,0.33,-0.24
-1.05,0.33,-0.24
-0.48,0.14,-0.29
-0.48,0.14,-0.29
-0.24,-0.14,-0.24
-0.33,-0.05,-0.05
-0.33,-0.05,-0.05
-0.19,1.00,-0.62
-0.19,1.00,-0.62
1.00,-1.24,-1.52
1.00,-1.24,-1.52
-1.52,-1.52,1.29
0.38,0.90,-0.76
0.38,0.90,-0.76
-0.14,0.86,-0.52
-0.14,0.86,-0.52
-0.43,0.57,-0.52
-0.43,0.57,-0.52
-0.57,0.62,-0.48
-0.38,0.62,-0.52
-0.38,0.62,-0.52
-0.29,0.71,-0.62
-0.29,0.71,-0.62
-0.33,0.67,-0.62
-0.33,0.67,-0.62
-0.43,0.62,-0.57
-0.43,0.62,-0.57
-0.33,0.71,-0.57
-0.38,0.62,-0.52
-0.38,0.62,-0.52
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.38,0.71,-0.57
-0.38,0.71,-0.57
-0.29,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.29,0.67,-0.57
-0.29,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.57,-0.57
-0.38,0.57,-0.57
-0.38,0.62,-0.62
-0.38,0.62,-0.62
-0.38,0.57,-0.57
-0.38,0.57,-0.57
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.38,0.57,-0.57
-0.43,0.62,-0.48
-0.43,0.62,-0.48
-0.38,0.71,-0.57
-0.38,0.71,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.62
-0.33,0.62,-0.57
-0.33,0.62,-0.57
-0.38,0.67,-0.62
-0.38,0.67,-0.62
-0.43,0.67,-0.57
-0.43,0.67,-0.57
-0.33,0.62,-0.62
-0.38,0.62,-0.62
-0.38,0.62,-0.62
-0.33,0.67,-0.52
-0.33,0.67,-0.52
-0.38,0.62,-0.52
-0.38,0.62,-0.52
-0.33,0.71,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.67,-0.62
-0.38,0.67,-0.62
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.71,-0.57
-0.38,0.71,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.52
-0.38,0.67,-0.52
-0.38,0.62,-0.52
-0.38,0.71,-0.62
-0.38,0.71,-0.62
-0.33,0.71,-0.57
-0.33,0.71,-0.57
-0.33,0.62,-0.62
-0.33,0.62,-0.62
-0.38,0.57,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.33,0.62,-0.57
-0.33,0.62,-0.57
-0.38,0.76,-0.62
-0.38,0.76,-0.62
-0.29,0.67,-0.62
-0.29,0.67,-0.62
-0.38,0.71,-0.57
-0.38,0.67,-0.52
-0.38,0.67,-0.52
-0.38,0.62,-0.62
-0.38,0.62,-0.62
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.33,0.67,-0.57
-0.33,0.62,-0.57
-0.33,0.62,-0.57
-0.38,0.62,-0.62
-0.38,0.62,-0.62
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.29,0.71,-0.57
-0.29,0.71,-0.57
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.33,0.71,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.62,-0.62
-0.38,0.62,-0.62
-0.43,0.62,-0.62
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.38,0.67,-0.62
-0.38,0.67,-0.62
-0.33,0.71,-0.62
-0.33,0.71,-0.62
-0.33,0.62,-0.62
-0.33,0.71,-0.62
-0.33,0.71,-0.62
-0.43,0.67,-0.57
-0.43,0.67,-0.57
-0.33,0.62,-0.62
-0.33,0.62,-0.62
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.43,0.62,-0.52
-0.33,0.67,-0.52
-0.33,0.67,-0.52
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.33,0.71,-0.52
-0.33,0.71,-0.52
-0.33,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.33,0.67,-0.62
-0.33,0.67,-0.62
-0.33,0.67,-0.62
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.33,0.67,-0.62
-0.33,0.67,-0.62
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.38,0.62,-0.62
-0.38,0.62,-0.62
-0.33,0.62,-0.57
-0.43,0.71,-0.57
-0.43,0.71,-0.57
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.29,0.71,-0.62
-0.29,0.71,-0.62
-0.43,0.62,-0.57
-0.43,0.62,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.33,0.62,-0.62
-0.38,0.62,-0.62
-0.38,0.62,-0.62
-0.43,0.67,-0.57
-0.43,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.57,-0.57
-0.38,0.57,-0.57
-0.33,0.57,-0.57
-0.33,0.62,-0.57
-0.33,0.62,-0.57
-0.33,0.62,-0.62
-0.33,0.62,-0.62
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.33,0.62,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.43,0.67,-0.57
-0.43,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.38,0.67,-0.62
-0.38,0.67,-0.62
-0.43,0.62,-0.57
-0.38,0.62,-0.52
-0.38,0.62,-0.52
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.38,0.67,-0.62
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.33,0.62,-0.62
-0.33,0.62,-0.62
-0.38,0.67,-0.62
-0.38,0.67,-0.62
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.33,0.67,-0.52
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.33,0.67,-0.62
-0.33,0.67,-0.62
-0.43,0.67,-0.57
-0.43,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.62,-0.62
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.38,0.67,-0.52
-0.38,0.67,-0.52
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.71,-0.57
-0.43,0.62,-0.57
-0.43,0.62,-0.57
-0.43,0.62,-0.62
-0.43,0.62,-0.62
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.67,-0.57
-0.33,0.62,-0.62
-0.33,0.62,-0.62
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.43,0.67,-0.52
-0.43,0.67,-0.52
-0.33,0.62,-0.57
-0.33,0.62,-0.57
-0.33,0.62,-0.57
-0.43,0.67,-0.52
-0.43,0.67,-0.52
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.52
-0.38,0.62,-0.52
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.33,0.62,-0.57
-0.33,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.43,0.62,-0.62
-0.43,0.62,-0.62
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.43,0.57,-0.52
-0.43,0.57,-0.52
-0.38,0.67,-0.52
-0.43,0.67,-0.52
-0.43,0.67,-0.52
-0.38,0.62,-0.62
-0.38,0.62,-0.62
-0.43,0.67,-0.57
-0.43,0.67,-0.57
-0.43,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.71,-0.57
-0.38,0.71,-0.57
-0.43,0.67,-0.62
-0.33,0.62,-0.57
-0.33,0.62,-0.57
-0.33,0.67,-0.62
-0.33,0.67,-0.62
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.62,-0.52
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.71,-0.62
-0.38,0.71,-0.62
-0.38,0.71,-0.57
-0.38,0.71,-0.57
-0.38,0.67,-0.57
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.33,0.67,-0.62
-0.33,0.67,-0.62
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.43,0.62,-0.52
-0.43,0.62,-0.52
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.62
-0.38,0.67,-0.62
-0.38,0.67,-0.62
-0.38,0.67,-0.62
-0.33,0.67,-0.57
-0.38,0.67,-0.62
-0.38,0.67,-0.62
-0.33,0.67,-0.62
-0.33,0.67,-0.62
-0.38,0.62,-0.52
-0.38,0.62,-0.52
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.43,0.67,-0.62
-0.43,0.67,-0.62
-0.38,0.67,-0.62
-0.38,0.67,-0.62
-0.38,0.67,-0.62
-0.38,0.67,-0.62
-0.38,0.62,-0.62
-0.38,0.57,-0.57
-0.38,0.57,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.33,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.33,0.71,-0.62
-0.33,0.71,-0.62
-0.38,0.62,-0.57
-0.38,0.62,-0.57
-0.38,0.62,-0.52
-0.33,0.67,-0.57
-0.33,0.67,-0.57
-0.38,0.57,-0.57
-0.38,0.57,-0.57
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.62,-0.57
-0.38,0.57,-0.62
-0.38,0.57,-0.62
-0.38,0.67,-0.57
-0.38,0.67,-0.57
-0.38,0.71,-0.57
-0.38,0.71,-0.57
-0.38,0.67,-0.62
